target_id	length	eff_length	est_counts	tpm
ACTB	72	73	77881	183068
ALS2	69	70	564	1382.56
ANXA11	65	66	27	70.1979
ATP13A2	74	75	5185	11862.9
ATP6V0A1	54	55	8047	25105.9
C1orf43	66	67	6250	16007
C9orf72	56	57	1887	5680.69
CALCOCO2	54	55	138	430.547
CHMP2B	60	61	1226	3448.78
CLN5	74	75	612	1400.21
CRLS1	61	62	1461	4043.55
CTSB	74	75	4188	9581.86
CTSD	75	76	749	1691.11
CTSL	58	59	641	1864.28
DCTN1	76	77	12610	28101.5
FUS	83	84	19886	40623.1
FYN	59	60	6157	17608.5
GALC	55	56	1158	3548.34
GBA	66	67	1397	3577.88
GCH1	56	57	457	1375.77
GRN	65	66	1778	4622.66
GSTO1	56	57	247	743.578
GUSB	59	60	379	1083.91
HMBS	62	63	470	1280.15
HMOX1	66	67	37	94.7614
HNRNPA2B1	50	51	23264	78274.2
KIF5A	62	63	17086	46537.6
LRRK2	53	54	136	432.165
MAPT	69	70	15326	37569.5
MCCC1	57	58	699	2068.01
NAGLU	70	71	149	360.108
NBR1	61	62	2151	5953.24
NEU1	70	71	1518	3668.75
NQO1	84	85	32	64.6004
OPTN	64	65	1988	5248.16
OXR1	72	73	2824	6638.14
PARK2	55	56	117	358.511
PARK7	62	63	8689	23666.5
PFN1	77	78	10382	22839.7
PINK1	67	68	1921	4847.56
PSAP	71	72	18976	45224.8
PSMB4	64	65	3221	8503.19
SCARB2	63	64	10462	28050.4
SETX	60	61	1239	3485.35
SNCA	58	59	9488	27594.8
SOD1	62	63	4838	13177.4
SQSTM1	66	67	3283	8408.15
STX17	57	58	562	1662.7
TARDBP	60	61	7720	21716.6
TAX1BP1	63	64	2785	7467.06
TBK1	59	60	536	1532.91
TMEM106B	54	55	1062	3313.34
TMEM175	70	71	2187	5285.61
VAPB	64	65	3659	9659.47
VCP	70	71	9360	22621.5
VPS13C	54	55	1848	5765.59
VPS35	68	69	6292	15647.5
CLN8	63	64	238	638.119
CHCHD10	72	73	1384	3253.25
CHCHD2	65	66	1	2.59992
GAPDH	81	82	76538	160165
