target_id	length	eff_length	est_counts	tpm
ACTB	72	161.378	81819	64052.2
ALS2	69	70	512	924.054
ANXA11	65	66	29	55.511
ATP13A2	74	75	6835	11513.4
ATP6V0A1	54	202.729	9285	5786.18
C1orf43	66	67	6550	12350.7
C9orf72	56	57	1835	4067.12
CALCOCO2	54	55	167	383.6
CHMP2B	60	61	1166	2414.87
CLN5	74	75	557	938.251
CRLS1	61	62	1488	3032.05
CTSB	74	75	5780	9736.25
CTSD	75	76	1021	1697.22
CTSL	58	59	742	1588.83
DCTN1	76	77	14867	24392.6
FUS	83	362.748	21391	7449.93
FYN	59	60	5981	12593.5
GALC	55	56	1311	2957.6
GBA	66	67	1485	2800.12
GCH1	56	57	402	890.997
GRN	65	66	1749	3347.89
GSTO1	56	57	285	631.677
GUSB	59	60	426	896.982
HMBS	62	63	451	904.402
HMOX1	66	67	52	98.0514
HNRNPA2B1	50	51	24840	61532.8
KIF5A	62	63	18550	37198.8
LRRK2	53	54	145	339.234
MAPT	69	202.729	23561	14682.6
MCCC1	57	161.378	650	508.854
NAGLU	70	71	193	343.419
NBR1	61	62	2220	4523.62
NEU1	70	71	1527	2717.1
NQO1	84	85	44	65.3972
OPTN	64	65	2382	4629.71
OXR1	72	73	2745	4750.56
PARK2	55	56	115	259.439
PARK7	62	63	8769	17584.7
PFN1	77	78	14450	23404.5
PINK1	67	68	2358	4380.87
PSAP	71	72	28062	49239.2
PSMB4	64	65	3485	6773.52
SCARB2	63	64	10986	21686.3
SETX	60	61	1103	2284.39
SNCA	58	161.378	9763	7642.98
SOD1	62	63	5104	10235.2
SQSTM1	66	67	3239	6107.47
STX17	57	202.729	639	398.209
TARDBP	60	61	7125	14756.4
TAX1BP1	63	64	2908	5740.37
TBK1	59	60	545	1147.55
TMEM106B	54	55	1133	2602.51
TMEM175	70	362.748	2411	839.688
VAPB	64	65	3716	7222.5
VCP	70	71	9620	17117.6
VPS13C	54	55	1856	4263.25
VPS35	68	69	6539	11972.6
CLN8	63	64	237	467.836
CHCHD10	72	73	1545	2673.81
CHCHD2	65	66	3	5.74252
GAPDH	135	27.7244	104107	474397
